country,year,gender,population,num_of_incidence,per_of_incidence,incidence_rate,weight_35f,weight_30f,weight_25f,cholesterol_level,diabetes_level,hypertension_level,smoking_level,obesity_level,country_year_gender
Slovak Republic,2010,Female,2791128.0,,,,0.9076274377991981,0.7779663752564555,0.648305312713713,,,,,,Slovak Republic_2010_Female
Slovak Republic,2011,Female,2769921.5,,,,0.9076274377991981,0.7779663752564555,0.648305312713713,,,,,,Slovak Republic_2011_Female
Slovak Republic,2012,Female,2773713.5,,,,0.9076274377991981,0.7779663752564555,0.648305312713713,,,,,,Slovak Republic_2012_Female
Slovak Republic,2013,Female,2775873.0,,,,0.9076274377991981,0.7779663752564555,0.648305312713713,,,,,,Slovak Republic_2013_Female
Slovak Republic,2014,Female,2777955.0,,,,0.9076274377991981,0.7779663752564555,0.648305312713713,,,,15.8,16.6,Slovak Republic_2014_Female
Slovak Republic,2015,Female,2779595.5,,,,0.9076274377991981,0.7779663752564555,0.648305312713713,,,,,,Slovak Republic_2015_Female
Slovak Republic,2016,Female,2781914.5,,,,0.9076274377991981,0.7779663752564555,0.648305312713713,,,,,,Slovak Republic_2016_Female
Slovak Republic,2017,Female,2785132.5,,,,0.9076274377991981,0.7779663752564555,0.648305312713713,,,,,,Slovak Republic_2017_Female
Slovak Republic,2018,Female,2787975.0,,,,0.9076274377991981,0.7779663752564555,0.648305312713713,,,,,,Slovak Republic_2018_Female
Slovenia,2000,Female,1017691.0,2886.8787245686526,0.0008656207471316,283.66947576117434,0.9076274377991981,0.7779663752564555,0.648305312713713,5.2,5.38,41.7,,,Slovenia_2000_Female
Slovenia,2001,Female,1018324.0,2869.633263397512,0.0008602195123661,281.7996299210774,0.9076274377991981,0.7779663752564555,0.648305312713713,5.2,5.46,41.5,,,Slovenia_2001_Female
Slovenia,2002,Female,1019607.0,2867.233162718724,0.0008580477941168,281.209638882307,0.9076274377991981,0.7779663752564555,0.648305312713713,5.2,5.55,41.3,,,Slovenia_2002_Female
Slovenia,2003,Female,1019337.0,2867.4423532533337,0.0008562105164386,281.3046473593457,0.9076274377991981,0.7779663752564555,0.648305312713713,5.2,5.65,41.2,,,Slovenia_2003_Female
Slovenia,2004,Female,1019912.0,2844.5677454165693,0.000848186365043,278.9032529685472,0.9076274377991981,0.7779663752564555,0.648305312713713,5.2,5.76,41.1,,,Slovenia_2004_Female
Slovenia,2005,Female,1021044.0,2866.274042010752,0.0008531475346117,280.7199339118346,0.9076274377991981,0.7779663752564555,0.648305312713713,5.2,5.88,41.1,,,Slovenia_2005_Female
Slovenia,2006,Female,1022640.0,2855.0133226174657,0.0008488584331758,279.18068162965125,0.9076274377991981,0.7779663752564555,0.648305312713713,5.1,6.02,41.1,,,Slovenia_2006_Female
Slovenia,2007,Female,1024281.0,2871.9904105730247,0.000851296857509,280.3908703347055,0.9076274377991981,0.7779663752564555,0.648305312713713,5.1,6.16,41.1,15.5,15.8,Slovenia_2007_Female
